SYMBOL,avg -log10(p)
ACTR6,1.892732841
CCDC50,1.970917327
GRHPR,2.299789686
CDC16,2.298760234
MRPL38,2.280483279
GDI2,2.298457918
BIN3,2.297940151
SLC35E1,2.296725822
CCDC182,2.294563953
PTPRB,2.294504055
PRXL2B,2.293700502
UHRF1BP1L,2.223813486
HNF4A,2.293265153
GSK3B,2.293137193
EDEM2,2.292855812
CDC14B,2.292514988
NDUFC2-KCTD14,1.902600334
PSMD11,2.084236039
TPP2,2.280345599
GRIN3B,2.280179992
NPEPPS,1.902349599
FBXW9,2.276486864
CCAR2,2.27448856
LOC101927751,2.27433334
SLC17A1,2.272857436
DNAJB1,2.182979856
CSRNP3,2.27150824
ZMAT2,2.271451438
HTR4,2.264816433
ALG8,1.841854435
EVL,1.95103096
EFHB,2.26322913
PPFIA4,2.262664207
OR8K3,2.262417781
FAM117B,1.966229777
METTL16,2.261409685
RSL1D1,2.260396014
CYP21A2,2.260142966
MARK2,2.259937472
PSTPIP2,2.259392595
FOXI3,2.241032246
OR5T2,2.258021586
SLC44A4,2.255863548
DNAJB2,2.254917397
PTBP3,1.860968333
LAMC1,2.25352149
AQP10,2.250727592
IFIT2,2.250673444
SCUBE3,2.249530177
UBAC2,2.249175449
ANK3,2.247083831
RNF130,2.246401622
WASL,2.245957613
THBS2,2.244872469
PIN1,2.242687497
PLEKHH2,1.791257465
ASPN,2.240778008
BAIAP2,2.240211325
MAPK8,1.891714422
LPO,2.239087704
DDX39B,2.23895969
OR4D5,2.238395373
GPR55,2.167198601
AXL,2.232710525
TSPOAP1,1.835263183
KCNG3,2.230770418
OR5J2,2.225563331
SORCS1,2.224965109
LOC728392,2.218856648
ZNF2,2.224062043
THAP3,2.222885054
TNNT1,2.222428195
OR5T3,2.219776327
SPATA19,2.218876786
HOXA6,1.795074817
GBA,2.21292227
PLA2G12A,2.21192359
ZBTB42,2.211888218
OR8H3,2.210334693
MIR205HG,2.209398205
OR8J3,2.209264586
SULT1A2,2.207853546
SLC16A10,2.207734414
GGT7,1.932770485
THRSP,2.204537106
SCAMP3,2.202968026
EIF2AK3,1.861959692
EPPK1,2.200666344
MFN2,2.199860533
TSHR,2.198994404
PLA2G15,2.19873353
CHRFAM7A,2.198692353
GCC2,2.198411085
KCNIP3,1.9507234
RDH10,2.19606515
SOX11,2.194560314
SENP3,2.19426133
SCRN1,2.194098335
SLC25A38,2.193996494
OR5AS1,2.193758958
OR8K5,2.192464972
RGS14,2.192417622
BRMS1,2.192363513
PRKAG3,2.189969214
WWC2,2.189754037
