SYMBOL,avg -log10(p)
LY75,1.988006885
RBMS1,3.224273076
SLC4A10,1.405994398
CIR1,1.30477232
SCRN3,1.966905441
GPR155,1.901280335
ZNF385B,1.336911853
SLC40A1,1.654136371
SLC39A10,1.372265559
PPIL3,2.63432486
ORC2,1.676933624
FAM126B,1.484801957
NDUFB3,1.3440744
CFLAR,1.617442678
CASP8,1.325690111
STRADB,1.517898547
C2CD6,1.330218385
TMEM237,1.519631819
CDK15,1.831808037
FZD7,1.531756085
ICA1L,4.133565267
WDR12,4.135434362
CARF,4.091954758
NBEAL1,5.101077457
CYP20A1,2.104312317
ABI2,1.437730933
RAPH1,1.768632369
FAM237A,1.312150118
CPO,3.228934574
IDH1,1.843966008
PIKFYVE,3.03699177
PTH2R,1.680207112
LANCL1,1.44070397
CPS1,1.629931239
SPAG16-DT,1.415126247
RUFY4,1.454532064
SPEG,1.927015255
ASIC4,2.471906412
TMEM198,1.328604974
OBSL1,2.635599111
INHA,3.999479159
SERPINE2,2.180752275
DOCK10,2.303888353
DNER,1.7323301
PSMD1,1.474359257
HTR2B,1.765356192
ARMC9,1.795620648
NGEF,2.557927852
INPP5D,18.83445892
SAG,1.679666737
DGKD,4.003339502
USP40,3.584025589
HJURP,1.374245247
LOC100287387,1.685584987
CROCC2,1.462886419
SNED1,2.122582578
EDEM1,1.686343653
CAV3,1.439246987
SRGAP3,1.70874218
SETD5,2.438111872
RPUSD3,2.234242063
CIDEC,1.537633666
JAGN1,1.702327013
IL17RE,1.90315948
IL17RC,1.855270159
SYN2,2.628211991
TIMP4,2.652591916
PPARG,1.956755646
XPC,2.346247367
LSM3,2.012217581
ANKRD28,1.559878397
RFTN1,1.992053093
LRRC3B,1.438946344
TRANK1,4.587858781
EPM2AIP1,2.947613905
MLH1,3.744703368
LRRFIP2,4.729997
GOLGA4,2.267356995
C3orf35,3.033496897
CTDSPL,1.359210591
OXSR1,1.764471553
ZNF662,1.513555352
SNRK,1.792661905
TOPAZ1,1.345611659
ZNF852,2.929114512
ZNF35,2.772183691
LIMD1,1.758005511
LTF,1.872409323
ARIH2,1.393102948
QARS1,1.675594066
USP19,1.611348283
CAMKV,1.35170831
MST1R,1.496032368
HYAL1,1.456826282
CACNA2D2,2.598685637
C3orf18,3.045217371
HEMK1,3.20453015
MAPKAPK3,2.122749628
DOCK3,3.129449794
RRP9,2.436459589
DCP1A,2.306888885
CACNA2D3,1.450628848
LRTM1,1.816246294
ERC2,3.191694479
CCDC66,1.667182361
TASOR,1.75137399
ARHGEF3,3.291863775
IL17RD,2.615755369
APPL1,1.430895413
ASB14,1.996927404
PDE12,2.453728855
ARF4,1.806179974
DENND6A,2.001021793
LOC105377650,1.797538929
ABHD6,1.571751786
KCTD6,1.779081636
FAM107A,1.515970789
CADPS,2.401629956
SYNPR,2.948175027
GBE1,2.248505342
CLDND1,1.390256228
HHLA2,1.405618501
GAP43,1.48859797
UPK1B,2.998396076
B4GALT4,2.210807224
TIMMDC1,1.731843423
ADCY5,3.296431753
SLC12A8,2.635449005
ZXDC,1.44070397
TXNRD3,1.418505458
CHCHD6,1.366329594
RPN1,3.707418956
HMCES,1.496100417
H1-10,1.330264836
ALG1L2,1.434955424
ATP2C1,1.748167181
ASTE1,1.853747898
SLC35G2,2.512013669
NCK1,2.971876285
PAQR9,1.725934564
PLSCR4,1.396758166
ZIC1,1.3857146
COMMD2,2.167561346
TMEM183B,2.718716588
MBNL1,2.291551619
TMEM14EP,1.935654343
MME,4.68874038
ACTRT3,1.990719116
MYNN,1.712982499
PARL,2.046264463
DVL3,1.827572223
ABCF3,1.887696697
VWA5B2,4.361940258
ALG3,4.375099398
ECE2,4.476604752
CAMK2N2,3.596930979
EIF4G1,1.550398195
FAM131A,2.036972854
CLCN2,1.641741458
KNG1,1.403721871
RPL39L,1.593442789
CCDC50,1.308220306
ACAP2,1.808884478
PCGF3,2.565399164
CPLX1,1.352890996
GAK,4.636782433
TMEM175,3.384606563
DGKQ,8.02617045
SLC26A1,7.542042449
IDUA,4.349284607
FGFRL1,1.77085592
TMEM129,1.6266098
TACC3,1.519188488
MXD4,1.368041524
FAM193A,1.320045455
MFSD10,1.513172957
GRK4,1.347608596
DOK7,1.554676077
MRFAP1,2.075049111
TBC1D14,1.304465791
HS3ST1,1.559295525
FGFBP1,1.535540261
DCAF16,2.352491909
NCAPG,2.46209299
LCORL,4.160609952
SOD3,1.52642545
SMIM20,1.592711094
TBC1D19,1.408612576
DTHD1,1.401417392
PGM2,1.318695433
RHOH,2.302962557
APBB2,1.718216928
CNGA1,1.75114432
CWH43,1.304535836
DCUN1D4,1.680810631
SGCB,1.769525533
GC,1.355758414
ADAMTS3,1.657202409
MRPL1,1.714825399
CFAP299,2.63126696
HNRNPD,3.917897116
HPSE,1.416064797
DMP1,2.558666272
IBSP,2.706328134
MEPE,1.324112759
BMPR1B,1.483239935
RAP1GDS1,1.696307273
CENPE,1.347889095
ARHGEF38,1.702151982
GSTCD,1.413153996
ETNPPL,1.336647781
COL25A1,3.812919175
SEC24B,1.559002635
FAM241A,1.679999196
AP1AR,1.427500146
TIFA,2.000591042
NDST3,1.917106967
PRSS12,1.995420706
METTL14,1.721198195
SEC24D,1.914174466
NDNF,1.33480376
TNIP3,1.563551099
ANKRD50,1.998699067
LOC105377623,1.361960246
GAB1,1.84145659
SLC10A7,2.128971325
PRMT9,1.693768035
PRSS48,1.747996979
FAM160A1,2.130815234
GATB,1.378750996
TRIM2,1.452176086
LRAT,1.652572401
GASK1B,1.68164445
ETFDH,1.362210171
RAPGEF2,2.229246423
FAM218BP,1.320181596
DCTD,1.650275777
ACSL1,1.92252308
SLC6A19,1.564776954
SLC6A18,1.677842752
IRX1,1.816730156
ATPSCKMT,1.396736511
CTNND2,1.47653969
OTULIN,5.002227755
ANKH,3.552135194
MYO10,1.325166405
TTC23L,2.586301841
LMBRD2,1.477321076
GDNF,1.616957001
RPL37,1.566982635
ARL15,2.171681745
GZMA,1.856610431
DHX29,1.537482213
SLC38A9,1.501937685
IL6ST,3.290713075
LOC105378979,2.639425519
MAP3K1,3.855425792
MIER3,2.929075969
PDE4D,1.823730736
ELOVL7,1.355659901
ERCC8,1.4215671
NDUFAF2,1.706129408
TNPO1,1.359737256
HEXB,4.306677643
IQGAP2,2.829798227
F2RL2,1.720103541
CRHBP,1.592235304
PDE8B,1.333791003
OTP,1.744968837
POLR3G,2.195172514
LYSMD3,1.992294886
CAST,1.858801155
CSNK1G3,2.652279783
ALDH7A1,1.497422678
FBN2,3.373998576
MINAR2,2.948570744
CHSY3,2.340568732
IRF1,1.492913592
HSPA4,2.407234956
FBXL21P,1.646160676
FAM53C,1.391153178
LOC105379194,1.96385037
CTNNA1,1.930776043
LRRTM2,1.849274253
SIL1,1.780939668
CYSTM1,3.390561948
PFDN1,4.351696117
HBEGF,5.937172557
NDUFA2,1.614601574
PCDHB4,1.577492234
PCDHB13,3.247544352
PCDHGB1,1.597801193
RELL2,1.92221241
FCHSD1,1.928761124
PCDH1,1.850657701
DELE1,1.983802646
PCDH12,1.420605157
NDFIP1,1.75325529
ARHGAP26,2.065799597
PLAC8L1,1.714847921
LARS1,1.957503243
RBM27,2.191694479
STK32A,1.495517058
SH3TC2,3.325846426
CSNK1A1,1.599464489
SAP30L,2.038802043
HAND1,1.685922008
SGCD,1.535301851
TIMD4,1.695962098
HAVCR1,2.705423561
HAVCR2,1.643214438
MED7,1.314589705
ITK,1.808493095
ATP10B,3.707234596
GABRB2,1.542542012
SLIT3,1.389584729
C5orf58,1.446590345
LOC101928093,2.336007131
PRELID1,1.443299578
MXD3,2.083440781
LMAN2,2.930442895
PRR7,1.325111315
DOK3,3.399955877
DDX41,2.78322503
FAM193B,4.087459798
TMED9,1.580076587
HNRNPAB,1.80468164
PHYKPL,1.556815271
CANX,3.315971407
MAML1,3.502975342
